,Address,Lot_Size,Price,Unit,latitude,longitude
2417,"321/8210 Ridge Rattlesnake Rd, Hayfork, CA 96041",3.65,120000.0,acres lot,40.544,-123.1720
2418,"1095 Crooked Oak Ln, Redding, CA 96003",10.19,119900.0,acres lot,40.648,-122.353
2419,"10117 Sandy Ln, Redding, CA 96001",1.0,119800.0,acres lot,40.580,-122.4688
2420,"10199 Grand Forks Ct, Redding, CA 96001",3.07,119000.0,acres lot,40.583,-122.4777
2421,"0 Tanstaafl Ln, Redding, CA 96001",2.74,119000.0,acres lot,40.617,-122.4703
2422,"3392 Harlan Dr, Redding, CA 96003",1.13,119000.0,acres lot,40.595,-122.4217
2423,"10268 Winthrop Ct, Shasta, CA 96087",7.34,115000.0,acres lot,40.584,-122.4897
2424,"10400 Red Bluff Rd, Shasta, CA 96087",1.02,115000.0,acres lot,40.589,-122.4857
2425,"1779 Player Ct, Redding, CA 96003",0.41,115000.0,acres lot,40.634,-122.3501
2426,"13325 Tierra Heights Rd, Redding, CA 96003",0.86,115000.0,acres lot,40.672,-122.3264
2427,"0 Harding Ave, Crescent City, CA 95531",0.76,114000.0,acres lot,41.7673,-124.20083
2428,"Wintu Way, Redding, CA 96003",4.79,111000.0,acres lot,40.704,-122.3194
2429,"3763 Sunlight Ct, Redding, CA 96001",0.31,110000.0,acres lot,40.5878,-122.42980
2430,"540 W Upper Democrat Gulch, Weaverville, CA 96093",40.0,109500.0,acres lot,40.718,-122.9660
2431,"310 Reservoir Rd, Hayfork, CA 96041",2.44,109000.0,acres lot,40.555,-123.16348
2432,"3781 Sunlight Ct, Redding, CA 96001",0.71,107000.0,acres lot,40.587,-122.430
2433,"15882 Lower Springs Rd, Redding, CA 96001",1.45,100000.0,acres lot,40.566,-122.4696
2434,"13582 Echo Hill Rd, Redding, CA 96003",10.0,99900.0,acres lot,40.683,-122.3111
2435,"Bear Mountain Rd, Redding, CA 96003",2.0,99900.0,acres lot,40.699,-122.2744
2436,"17014 Keswick Dam Rd, Redding, CA 96003",1.5,99500.0,acres lot,40.615,-122.4307
2437,"15210 Glendale Pines Dr, Shasta, CA 96087",6.19,99000.0,acres lot,40.617,-122.4970
2438,"15552 Gamblers Gulch Rd, Shasta, CA 96087",2.87,99000.0,acres lot,40.584,-122.4848
2439,"19348 Palermo Ct, Redding, CA 96003",0.71,99000.0,acres lot,40.672,-122.33512
2440,"9397 Placer Rd, Redding, CA 96001",1.61,95000.0,acres lot,40.554,-122.4424
2441,"16182 Keswick Dam Rd, Redding, CA 96001",5.78,95000.0,acres lot,40.616,-122.4580
2442,"15952 Highland Cir, Redding, CA 96001",0.93,95000.0,acres lot,40.589,-122.4692
2443,"2288 Lindstrom Ave, Samoa, CA 95564",0.11999540863177227,95000.0,sqft lot,40.7871,-124.20053
2444,"5700 Beaumont Dr, Redding, CA 96003",0.34,95000.0,acres lot,40.624,-122.3608
2445,"5707 Beaumont Dr, Redding, CA 96003",0.37,95000.0,acres lot,40.624,-122.3604
2446,"Glennison Gap Rd, Weaverville, CA 96093",40.0,94000.0,acres lot,40.73940,-122.981436
2447,"380 Weaver Bally Loop, Weaverville, CA 96093",1.74,94000.0,acres lot,40.7377,-122.9570
2448,"1295 Coggins St, Redding, CA 96003",1.77,92500.0,acres lot,40.606,-122.434
2449,"E Stillwater Way, Redding, CA 96003",2.14,90000.0,acres lot,40.630,-122.2960
2450,"3529 West St, Redding, CA 96001",0.43,90000.0,acres lot,40.563,-122.39164
2451,"15735 Highland Cir, Redding, CA 96001",1.25,89900.0,acres lot,40.587,-122.4732
2452,"9400 Magic Cir, Redding, CA 96001",4.71,89900.0,acres lot,40.558,-122.4679
2453,"2 Five Acres Grandview Rd, Weaverville, CA 96093",2.5,89000.0,acres lot,40.7309,-122.93901
2454,"0 Valley View Dr, Eureka, CA 95503",0.68,89000.0,acres lot,40.754,-124.1767
2455,"Lyal Ln, Redding, CA 96002",2.5,89000.0,acres lot,40.49,-122.2807
2456,"521 Ransom Rd, Weaverville, CA 96093",5.0,89000.0,acres lot,40.720,-122.91935
2457,"2 County Line Rd, Lewiston, CA 96052",17.59,87900.0,acres lot,40.7073,-122.80752
2458,"174 Freeman St, Crescent City, CA 95531",0.16000918273645545,87500.0,sqft lot,41.75,-124.2188
2459,"2909 Goose Ranch Rd, Lewiston, CA 96052",8.56,87500.0,acres lot,40.708,-122.82772
2460,"4272 Woodcock Ct, Fortuna, CA 95540",0.76,85000.0,acres lot,40.5770,-124.12309
2461,"1448 White Water Cir, Redding, CA 96003",0.31,85000.0,acres lot,40.6116,-122.41824
2462,"Red Cliff Way LOT 12, Lakehead, CA 96051",5.0,85000.0,acres lot,40.809,-122.34596
2463,"12009 Theresa Ln, Redding, CA 96003",0.5,84950.0,acres lot,40.6365,-122.36863
2464,"12680 Akrich St, Redding, CA 96003",1.56,80380.0,acres lot,40.657,-122.3401
2465,"5681 Constitution Way, Redding, CA 96003",0.24185032139577595,80000.0,sqft lot,40.624,-122.3617
2466,"2631 Sanford Ct, Redding, CA 96002",0.21999540863177228,79900.0,sqft lot,40.568,-122.319
2467,"166 Quartz Hill Rd, Redding, CA 96003",4.42,79500.0,acres lot,40.605,-122.40373
2468,"15609 State Highway 299 W, Redding, CA 96001",1.9,79000.0,acres lot,40.562,-122.4007
2469,"180 Ryan, Hayfork, CA 96041",1.62,79000.0,acres lot,40.543,-123.16343
2470,"892 Santa Cruz Dr, Redding, CA 96003",0.38,79000.0,acres lot,40.602,-122.4305
2471,"19415 Palermo Ct, Redding, CA 96003",0.78,79000.0,acres lot,40.6721,-122.3339
2472,"13383 Alicia Pkwy, Redding, CA 96003",0.51,78500.0,acres lot,40.6744,-122.328
2473,"226 Dolphin Dr, Whitethorn, CA 95589",0.13999081726354454,199000.0,sqft lot,40.037,-124.07812
2474,"104 N Dana St, Fort Bragg, CA 95437",0.27,199000.0,acres lot,39.442,-123.7883
2475,"27303 19 N 16 Road, Lake Pillsbury, CA 95469",104.0,198000.0,acres lot,39.428,-123.070
2476,"32450 Highway 20, Fort Bragg, CA 95437",0.76,197000.0,acres lot,39.419,-123.7984
2477,"Unmarked Road Off Of Homeland Rd, Macdoel, CA 96058",40.32,195000.0,acres lot,41.831,-121.9353
2478,"0 Four Acre Ct, Chico, CA 95926",0.29,195000.0,acres lot,39.734,-121.8780
2479,"0 Covelo Rd, Covelo, CA 95428",16.0,195000.0,acres lot,39.766,-123.1704
2480,"5140 Edith Ave, Corning, CA 96021",10.0,194500.0,acres lot,39.947,-122.1962
2481,"2320 Road K, Redwood Valley, CA 95470",0.86,194000.0,acres lot,39.2911,-123.2153
2482,"237 Dolphin Dr, Whitethorn, CA 95589",0.15,190000.0,sqft lot,40.037,-124.0780
2483,"225 Dolphin Dr, Whitethorn, CA 95589",0.21000918273645547,190000.0,sqft lot,40.0378,-124.0777
2484,"89 Columbus St, Rio Dell, CA 95562",0.26,190000.0,acres lot,40.4958,-124.1033
